Open,High,Low,Close,Adjusted Closing Amount,Volume Traded (in Millions)
32.965,32.987499,32.775002,32.945,30.070177,0.0001229332
32.807499,32.862499,32.474998,32.57,29.727905,0.00020353800000000002
32.57,32.8475,32.512501,32.634998,29.787228,0.0001284512
32.465,32.665001,32.330002,32.490002,29.654886,0.0001346704
32.665001,32.735001,32.474998,32.529999,29.691391,0.000123934
32.395,32.645,32.227501,32.34,29.517973,0.0001538004
32.375,32.422501,32.09,32.162498,29.355963,0.0001425072
32.224998,32.302502,31.7075,31.950001,29.162001,0.0002106992
31.674999,32.02,31.405001,31.855,29.075293,0.0002243016
31.98,32.334999,31.9625,32.220001,29.408442,0.0001563492
32.294998,32.544998,32.119999,32.147499,29.34227,0.0001415636
32.047501,32.0825,31.7775,31.7925,29.018253,0.0001475448
31.525,31.809999,31.4275,31.73,28.961205,0.0001759556
31.7575,31.9625,31.592501,31.9,29.116364,0.0001259764
31.93,31.969999,31.684999,31.825001,29.047909,0.00013167240000000002
31.807501,32.077499,31.805,31.969999,29.180264,0.0001416288
31.9275,31.955,31.6,31.65,28.888182,0.00021886760000000002
31.872499,32.014999,31.77,31.9025,29.118649,0.0001361572
31.870001,31.9025,31.719999,31.7575,28.986301,0.00012107559999999999
31.8025,32.450001,31.780001,32.0275,29.232738,0.0002211236
32.215,32.299999,31.875,31.875,29.093544,0.0001277524
31.9175,31.997499,31.627501,31.6875,28.922409,0.0001762672
31.365,31.6175,31.120001,31.1325,28.415836,0.0001966456
31.3925,31.530001,31.215,31.3575,28.621204,0.0001774828
31.725,31.735001,31.497499,31.65,28.888182,0.00012095520000000001
31.6075,31.672501,31.442499,31.610001,28.851677,0.00010884399999999999
31.235001,31.557501,31.2125,31.5,28.75127,0.0001122416
31.4725,31.5375,30.942499,31.422501,28.680536,0.0001877872
31.120001,31.16,30.635,30.6425,27.968597,0.00024304640000000002
30.9625,31.014999,29.805,30.0175,27.398134,0.00031438
30.485001,30.9625,30.3025,30.82,28.130606,0.000245418
31.2575,31.440001,31.08,31.415001,28.673687,0.000165762
31.51,31.592501,31.26,31.4025,28.662273,0.0001270724
31.43,31.7875,31.395,31.705,28.938383,0.0001345968
31.934999,32.142502,31.8375,32.127499,29.324017,0.0001448896
32.27,32.404999,32.077499,32.404999,29.577299,0.0001846588
32.7425,33.2425,32.674999,33.017502,30.136354,0.00023560079999999998
33.212502,33.23,32.580002,32.6875,29.835146,0.0003070256
30.497499,31.375,30.497499,31.305,28.573292,0.00046180239999999995
31.549999,31.772499,31.264999,31.290001,28.559597,0.000203998
31.33,31.434999,30.975,31.125,28.408995,0.0001686492
30.772499,30.9025,30.530001,30.692499,28.014235,0.000177822
30.844999,30.977501,30.637501,30.844999,28.153429,0.00013447239999999998
30.7875,30.875,30.567499,30.747499,28.064432,0.0001480468
30.58,30.6425,30.4275,30.592501,27.922962,0.00013451320000000002
30.65,30.66,30.227501,30.325001,27.678802,0.00017154
30.375,30.6425,29.379999,29.610001,27.026205,0.000279904
29.355,29.424999,28.3125,28.66,26.159094,0.0004965544
28.237499,29.360001,28.025,28.85,26.332514,0.0003972504
28.9925,29.125,28.530001,28.782499,26.389818,0.000211612
28.645,29.0625,28.625,28.879999,26.479212,0.0001546816
29.1325,29.997499,29.1325,29.93,27.441927,0.0002198064
29.452499,29.545,28.3325,28.372499,26.013899,0.0003883312
28.1325,28.855,27.407499,28.809999,26.415031,0.00040487
